,Landlord,City,State,Zip,Country,Review,Repair,Health,Stability,Privacy,Respect
4013,YUSHIH CHOU,OAKVILLE,ONTARIO,L6M 1K3,CA,We have been going through challenges but our landlord has been very considerate and has been unlike the usual landlords. His property manager Eric is a great person.,4,4,5,3,5
4014,R. JANG,VANCOUVER,BRITISH COLUMBIA,V6J 2M3,CA,terrible. stay away. building is falling apart.,1,2,2,3,1
4015,FRANCIS MANOR,RICHMOND,BRITISH COLUMBIA,V6Y1A2,CA,"Good older building.  Well run by a family that's owned it for 40+ years you can tell there's still pride.  Good management, well kept.  No pets no BBQs allowed.",4,5,5,5,5
4016,SIGNET GROUP,MISSISSAUGA,ONTARIO,L5G 3B7,CA,28 Helene St n is a dump.  Avoid.,1,1,2,2,1
4017,JUSTIN BARLETTA,ST CATHARINES,ONTARIO,L2T1R2,CA,"Made us pay for half a new furnace because we wanted to use the a/c when we first moved in. Numerous gas leaks, mold and many other dangerous issues he refused to fix.",1,1,1,1,1
4018,VIP REALTY AND PROPERTY MANAGEMENT,CALGARY,ALBERTA,T2T 4V1,CA,"The absolute worst slumlords who have been taking advantage of the chaos caused by the pandemic in the rental markets. Raised rents, do not clean or maintain the building. The owner and managers are verbally abusive and bully tenants into signing leases with illegal clauses. Do not rent from this nightmare company.",2,1,1,1,1
4019,ZAKIR MOHAMMED,VANCOUVER,BRITISH COLUMBIA,V5Y 0H6,CA,"Horrible experience renting from him, he acted illegally against the lease- would never recommend to anyone else.",2,2,1,1,1
4020,CROSSINGS ON MARSH,DALLAS,TEXAS,75051,US,"Routinely stepped on Tenants privacy by publicly posting notices on doors. Attempted to do a ""1-day"" renovation for the ENTIRE complex, choking off the parking lots and putting every resident on notice to pack their things so they could be moved. Lead to living out of boxes for those who stayed. Staying residents wasn't the plan though. Now upcharge for those same apartments, in crumbling buildings that have a fresh coat of paint and nicer counters. The pool is super outdated, but nice, when you can get them to open it. Don't expect a key for the ""private gym room.. Gym equipment was old, and the treadmill literally was dangerous to use with a stutter step in it at speeds higher than a walk. 

Property management team openly joked about taking people to court for eviction and will get litigious.",3,3,1,2,1
4021,TRUMAN DEVELOPMENTS,CALGARY,ALBERTA,T3H 6B5,CA,"Brand new building.  I chose this after selling a large home and started a new life.  I was respectful and a helpful tenant (made friends and we all offered help and they were socially lovely).  Elevators flooded January/2022- building was completely without 2 elevators for almost 4 months!  That is where owners and tenants started meeting and talking.  Many residents were older (had downsized), and could not manage stairs for getting food, getting to their cars.  This was during COVID lockdowns- complete isolation.  When I complained - they asked me for a second time if I was ‘buying a unit’. I had declined 2x, 2 months before.  When I let them know I was renewing my one year to LEASE,  there was zero issue with the manager,  she said she would send me the lease.  I also told her I was asking as I had to have affaires in order before doing a medical procedure  and could not have any surprises.
‘No problem’
4 weeks later this property manger left (the only one I or anyone dealt with- the second ‘Ellen’ was harassing and very unprofessional.  
Ellen gave me a letter and said ‘my lease would not be renewed’. I was shocked, I had given my verbal and then letter of intent to stay.
They wanted me out because I was vocal and did not give up on non-working elevators for 3 months in the dead of winter.  They also had no interest in me (even though I paid on the nose each month and helped stranded residents), the moment they knew I was not going to pay $799,000 for their unit- they were ruthless.
So during lockdowns and COVID - and after I told them I had a booked medical procedure, and was physically disabled with illness AND had just caught COVID for a second time (I am immunocompromised)— by sharing these  personal health issues, ongoing disabilities- they harassed me, refused to talk to me, even after I had pleasant and professional exchanges with the property manager for the year with ZERO issue.
They had zero issues with my rent- and I kept my place like a showhome.
So they had the RRDS post a ‘hearing date’ while I was told to quarantine for 10 days- plus extra 10 days by AHS.
They used my complaint and not wanting to purchase as a reason to really shove it to me- COVID to boot.
I had to have a hearing and be out- I had no where to go- it changed my life.
I was a homeowner of 25 years- this was my first condo/rent experience.  They treated me and frankly all tenants/owners terribly.
They had a plan however- they were not honest to the RTS- and told them they went and rented my unit- not true. My 2 neighbors updated me and said it was empty for a month or more. They did rent it for $700 more than I paid — I do believe that was their goal.  They were making it impossible for MANY tenants to stay.
They did not give me my deposit back- I had about 8 witnesses there for my walkthrough- they did not show up for a walk though— and kept $2100 plus added random fix fees.  I had painted any little picture hole, and my place was keep immaculate (my neighbors saw).
I could not remove the garbage on moving WEEK- because the shoot was backed up for 7 days!!
They charged me for not being able to move a handful of double tied garbage bags ready to go on moving day—- but their garbage shoots never worked and were a constant fire hazard.  Cars kept getting broken into, security was non existent- and underground parking door either trapped cars, or damaged them.
Worst mistake of my life- I am a single mature woman, they treated me poorly once they knew I was not buying, had a pressing health matter- and even worse when AHS said I could not leave my unit for a given time.   It was impossible for me to look  for a new place. I had to stay with someone.
Let me reiterate- they did this to many people, it was abusive and especially sad during covid and everyone trying to have a safe, healthy place to live.",1,1,1,1,1
4022,VICTOR WONG,VANCOUVER,BRITISH COLUMBIA,V5L1C4,CA,"Nice, but tries painting over black mold and refuses to have a professional fix anything, just does a super shoddy job himself every time.",1,1,5,3,5
4023,ARISE HOUSING,CALGARY,ALBERTA,T2R 0N1,CA,Trisha is a very absent landlord and seems to view the property as an investment and wealth building opportunity. She does not respond to emails about safety or repair concerns in a timely manner and took 6 weeks after move out and inspection to return my damage deposit,3,2,3,4,3
4024,PRISMA,WHITBY,ONTARIO,L1R 2G3,CA,"Property manager is controlling , manipulative, micromanaging, lying , sneaky, bullying , . Just nope",3,4,5,3,1
4025,TINA PANAGOULIA,TORONTO,ONTARIO,M5R 0C8,CA,"Reasonable landlord for the most part, but rating lowered because of aggressive rent increases.",5,5,1,4,3
4026,HOLLYBURN PROPERTIES,CALGARU,ALBERTA,T2P 3G8,CA,"Unfortunately I have lived in a Hollyburn Properties building for quite some time as it is very expensive here to move.  When I moved in, this was an adult only building and it was spotless.  It is not adult only now.  We have had issues with bugs for years - ants, bedbugs, roaches.   We have great building managers and staff - but they are understaffed and over-worked.   Hollyburn does not seem to care.   They continue to rent to irresponsible, dirty and sketchy renters - people who bring in the bugs and contribute to the filth and crime in the building.   There are very few surveillance cameras and no security.   In Alberta, we were hit with huge rent increases - despite the economy not being good here.   No one to speak to about this.   Hollyburn has rent controls in B.C. and Ontario, so they gouged us here in Alberta to make up for that.  Management in Vancouver are rude and unapproachable.   Suite inspections are done at the drop of a hat, although written notice is given.   We recently had inspections that went on monthly - they looked in cupboards, etc.   I have been here a long time and have a very clean apartment.   People living here with children let them run around in the lobby, laundry room and hallways with no supervision, disrupting other tenants.  Finally notices were put up - which were ignored and there are not enough staff to enforce the lease rules.   This behaviour has led to dirty lobby, hallways and laundry room.   The people do not supervise their children, do not clean up the messes they make, and let their children be loud and unruly with no reprimand.   I have spoken to management and they are at a loss as to what to do as they are understaffed.  If I could afford to move, I would be out of here and not rent from Hollyburn.",2,2,1,1,1
4027,NELSON MARTINS,VANCOUVER,BRITISH COLUMBIA,V5V 2W9,CA,"We had a horrible experience renting with Nelson Martins. At first, him and his wife Natalie seemed really nice. But once we lived there for a while, the truth revealed itself. We had multiple roof leaks and they would just put a bandaid on the problem instead of fixing the situation. One night, they couldn’t make it to the suite to fix the leak and asked my husband to climb on the wet and slippery roof to shovel the snow off the roof to stop our place from flooding. They literally got upset at him for refusing to do it because he felt it was too dangerous. They ended up evicting us for landlord use and when we answered saying that we are disappointed but we understand, they called us both individually at work saying that we were out of line for expressing our disappointment. When we moved out, they yelled at us for not hiring professional cleaners. We cleaned thoroughly but couldn’t afford cleaners because we had just been evicted! Previous tenants on the property had similar experiences. Do not recommend renting with these people!",2,3,3,3,1
4028,JIMMY ASRSENAULT/DAVE LAROUCHE,GATINEAU,QUEBEC,J8Z1K1,CA,"0 respect , rents appts that are all broken down and laugh at your face when you ask for repairs .",1,1,1,3,1
4029,XKL INVESTMENT,SYDNEY,NEW SOUTH WALES,2205,AU,"XKL get away with doing the bare minimum of what is acceptable in a landlord tenant relationship. After trying to renegotiate rent towards the end of the lease they hiked the price from $520 to $650 which was ridiculous for the area. It was an attempt to make us leave because after moving out I saw the property listed at $600. Be wary, they are an investment group after all and thats all you are to them.",3,3,1,3,1
4030,NB HOUSING,MONCTON,NEW BRUNSWICK,E4S3S6,CA,"The province housing for subsidised units, does not have disability friendly or trained staff. The conditions of living include mold , recalled air exchanges and other safety concerns. They do not subit deposits to the province security deposit fund. The staff are very rude. Getting a transfer goes to a vote. They do not act as if housing was a human right. Many housing units are empty and in disrepair. Not enough accessable units.",1,1,1,1,1
4031,C WATTS,BURNABY,BRITISH COLUMBIA,V3N3C3,CA,"Stay far away from this landlord

She and her family do not give you a moments peace. Loud music, constant fighting, yelling, loud vehicles including a full semi cab running in the driveway and backyard at all hours.  No respect for your sleep schedule, but has no issue complaining to you about theirs if you make the slightest noise.   They are constantly outside, never a moment of quiet. We used to be thankful when it rained because it meant they weren’t outside.  

Ease drops on your conversations from right beneath your windows and will take hidden photos of the inside of your rental unit while doing her inspections.  Records your conversations without your knowledge. 

Keeps a journal on your day to day activities - time you spend in rooms, times you come and go, songs that you listen to on the radio as examples. Even when you look out the window in her family’s direction  is written down.    Her adult and teenage children also monitor your activities and report to their mommy on you. 

Her children run motor cycles outside day and night.  She will not do anything about it, they do whatever they want, whenever the want.   Very disrespectful.  

Does not allow tenants outside in the backyard space. You are renting what’s inside only.  


Gets mad if you change anything inside (curtains, light switch covers, hanging a tv bracket, running cable into a room) as this was her childhood residence.  

Does not recognize when something is broken and puts a band aid fix on it instead of replacing it.  The stove is from 1958 and so is the electrical panel.  Never been replaced and is likely not up to code. 

Only accepts rent in cash. Does not use etransfer or checks.  

She filed an RTB dispute on us, and was extremely untruthful during the hearing.  Made up stories on us to try to swing the hearing her way.  

She and her children harassed  and bullied us along with making our lives miserable through the pandemic lockdown. 

Find somewhere else, trust me.   It’s not worth it.  She is not someone who knows how to cultivate a respectful relationship.",1,1,2,1,1
4032,THE GROVE AT SOUTHWOOD,COLLEGE STATION,TEXAS,77840,US,"Our upstairs neighbor's toilet pipe was leaking raw sewage into our bathroom for 3 months without repair. When the issue was finally addressed, the resultant mold was simply painted over. We experienced respiratory problems for the duration of our lease.

The general atmosphere of the complex is dangerous as well. Car break-ins, parking lot fights & petty theft are common. My family & I felt very unsafe.",1,1,5,4,2
4033,ERSILDA HOXHA,WATERBURY,CONNECTICUT,06708,US,"Repairs are done by the husband who is not a licensed professional. Therefore, issues were never fixed. Does not respond in a timely manner, sometimes could take a week to get a text back. Occasionally showed up unannounced. Neighbor gave us bed bugs and took a month for her to come and spray, also not done by a professional. The spray they did themselves did not work and it took another month to hire a professional after calling the health department. Overall do not recommend, does not follow basic landlord laws.",1,1,4,4,3
4034,SHAK,MONTREAL,QUEBEC,H3X3P3,CA,Best,5,5,5,5,5
4035,GATEHOUSE PROPERTIES,TORONTO,ONTARIO,M4C0A6,CA,"Not quite slumlord, not quite NOT a slumlord. They will do a crappy to average level repair for any urgent issues, usually in good time, sometimes not. For example, they fixed a leak within a few days, a broken faucet within 1 month, and took 2 months to fix a broken heater in November/December with no rent relief or space heaters provided. The owner Ralph Draws is very disrespectful over e-mails, and seems to be especially rude to women.",2,3,3,4,1
4036,DON SHANK,STURGEON FALLS,ONTARIO,P2B 3J1,CA,Only complaint we would have is the landlords lack of respect for their tenants parking privileges,5,5,4,5,3
4037,PARK PROPERTY,SCARBOROUGH,ONTARIO,M1W2N7,CA,The office people who work are not very polite and are usually harsh with the clients,3,2,2,3,1
4038,VISTA LOCAL,OTTAWA,ONTARIO,K1V 7P4,CA,I feel very disappointed on the treatment. As a woman of colour I was rejected to rent an apartment from vista local. Apparently I make extremely great money and I have an amazing credit but still I do not meet Vista Local’s criteria.,1,1,1,1,1
4039,ANN MAURINE,TORONTO,ONTARIO,M3M 0A2,CA,"The landlord - Anne - didnt mention that her parents were living with her. When i moved in, she told me that they are here for vacation and will leave soon. But they never left. Her mom used to enter my room whenever i was at work (as one day i saw her doing that when i came back). Above all, the worst thing she did was keep the house temperature less than 21° (legal requirement during winters) to save on hydro. I requested her twice but she never increased the temperature. Its only when i fell sick and told her that i’d call 311, she increased the temp to 23. NO PRIVACY AND SPACE IN THIS HOUSE.",1,1,1,1,1
4040,SALINDER & RAVI,CHILLIWACK,BRITISH COLUMBIA,V2P3J5,CA,"Absolutely horrible. What started out as a good thing quickly turned into a nightmare. Invasive, rude, untrustworthy. Tried illegally raising my rent almost $1000 per month. When we were already paying an arm and a leg. Tried shady tactics to get us out. Also if you speak English and only English I don’t suggest dealing with them. Impossible to understand and take advantage of that. They tore apart most of the house making the heat impossible to keep the house warm and was costing us about $600 a month in the winter. Extensive Reno’s done while we were living there. Constantly in your face. Monthly inspections. Just absolute hell. Extremely illegal basement suite. Bedrooms with no heat or windows. I could go on and on. And I wish we could post photos on this page. My mental and physical health had never taken such a toll. We got out and feel so badly for whoever moves in.",1,1,1,2,1
4041,NORTHEDGE PROPERTY MANAGEMENT 25 MABELLE,TORONTO,ONTARIO,M9A 4Y1,CA,"The building used to be decent but has gone downhill quickly.  There are roaches, mice, rats, mould, etc.  Add to that the fact they tried to evict all the tenants from the underground parking over a year ago and they are still trying to get people out so they can take the garage and the tiny greenspace we have, cutting down all sorts of protected trees, to  make another high priced condo.  The owner of our building IS the management company.  Her husband is the Director of Housing Policy for Doug Ford's government.   Its the only reason that this new build is happening.
We get plenty of notices from mgmt for access and in at least 50% of the cases, nobody ever shows up.  What they do show up and do is always subpar.
If you move in, do so knowing there is NO tenant parking for new people.  Even current tenants don't necessarily have parking.  Additionally, most all the visitor parking is used by tenants.
You can't even go to the office anymore as they are closed to tenants.  You have to go through the security guards for everything.",1,1,1,1,1
4042,CINDY PHILIPCHUCK,SASKATOON,SASKATCHEWAN,S7L 3H7,CA,"Regularly had all firedoors in the building propped open 24/7 until tenants intervened.  Claimed to have cameras in the building, would text tenants to ask them why and who was coming and going.  Solicited complaints from tenants about other tenants who the landlord did not like.  Treated the building not as a place with tenants, but like a rooming house where the landlord had to know everything about everyone.  Incredibly rude and discriminatory.",2,1,2,1,1
4043,LA APARTMENTS,VAN NUYS,CALIFORNIA,91406,US,Our tub kept filling with  actual fecal matter sewage. Took them at least 4 years to actually fix it. Turns out there was a broken pipe they never bothered to look for until the millionth time I complained. Things always breaking down especially plumbing. ROACHES. ALWAYS ROACHES. Pretty sure they illegally raised rent. Still looking into the legality of them raising fees. Landlords get a real job.,1,1,1,3,1
4044,RISA MANAGEMENT INC,SASKATOON,SASKATCHEWAN,S7L3H7,CA,"Hired a tenant as caretaker of the building, who then regularly yells at and threatens tenants.  Company is non-responsive to repair issues.  Building was left without working laundry facilities for two months, and when new machines were installed company illegally raised costs.  Company communications to tenants very high-handed and threatening in tone.  Company is currently engaged in reno-victing tenants.",1,2,2,2,1
4045,CHIN PROPERTY MANAGEMENT,HAMILTON,ONTARIO,L8P 4J4,CA,Daniel is the best landlord we ever had.,5,5,5,5,5
4046,KUMUTHINI PARAMANATHAN,OTTAWA,ONTARIO,K1X 0C6,CA,Cheap landlords,2,3,2,2,2
4047,WOODSMERE HOLDINGS,EDMONTON,ALBERTA,T5Y3J6,CA,"Woodsmere holdings , cock roach hotel , they are everywhere , people allow homeless people to sleep in the stair wells . Dryers take over 13 hours to dry your clothes . Staff will blame you for anything falling apart and it took a call to alberta health services and alberta health services to threaten them with fines  to get them to replace appliances . The owner is a cheapskate and refuses to get rid of the roach problem . Bed bugs run rampant. Stay away from these people",1,1,3,3,3
4048,CAPREIT,MONTREAL,QUEBEC,H4B 2Z6,CA,"Capreit has many properties in Montreal area. They cut back on all services, blame Covid for delay in repairs, high turnover of staff, security staff eliminated, cleaning is intermittent, hire foreign staff who are untrained, and unable to communicate with tenants.  If you complain about lack of repairs the Admin will blame the Capreit-owned subsidiary Uni for the delays. Very dirty garages. Never accept requested rent increases   before going to rental Board. The buildings would benefit from more attention to the upkeep and better tenant relations. Most tenants detest the Portal system and wuld prefer face-to-face but the communication problems prohibit it.",2,2,2,3,3
4049,REALSTAR MANAGEMENT,NORTH VANCOUVER,BRITISH COLUMBIA,V7J0E3,CA,"The way that they write email is very rude and harsh
You need to pay separate for water, hot water, BC Hydro, parking and storage
The roller is not a privacy and you need to buy and instal new curtain on top of existing roller
The overall rent and utilities price is high
But its a nice and clean building",5,3,2,2,2
4050,KAYMIC DEVELOPMENT LIMITED,GREATER SUDBURY,ONTARIO,P3B4A6,CA,"This building at 263 Brady is getting worst by the day. Once upon a time it was an awesome building, well maintained in the early 2000s. Seems like since the 2008 recession it’s only going down hill. Many good things were taken away including, food bank, annual Christmas dinner, a swimming pool, a locked hose to wash cars, picnic tables to hang out in the sun, … . Employees including security guards are often rude to most of the tenants. Garbage bin pick up occurs as early as 5am. Waking everyone up with all the bangings.",1,1,3,1,1
4051,GREENWIN INC,TORONTO,ONTARIO,M4X 1M1,CA,"The insane amounts of unnecessary reasons for entering our apartments is insane. I have a stack of ""24-hour entry notice"" papers that is nearing a foot tall, over 3 years. They come onto each floor, open up every apartment whether home or not, and have one ""security"" man to look over everything. The ""repair men"" are not knowledgeable in their crafts, every single time leaving the apartment in worse condition than it was before. Leaving large holes in the walls that go unfinished, smashing sinks, doors and never returning to repair. Mice and bugs get in with every new hole. If they do attempt to repair a cut out hole in the wall, it will leak spray foam and just fall apart a little more every day. They paint the walls of graffiti, but do nothing to deter the addicts gaining entry and making a wild mess of things. It's unsafe. There's no peace. I dream of the day when I get out of here. Incessant demands for financial checks, threatening eviction once every 6 months. It's too much. Much better ways to spend landlord money then repainting the hallways yellow every so often.",2,2,4,2,3
4052,TRANSGLOBE,EDMONTON,ALBERTA,T5P4E8,CA,"Written repairs requests are often ignored, even if reminded with a new request monthly. 
Cockroach issue notifications are also ignored unless the head of maintenance is shown actual cockroaches. 
Head of maintenance lets themselves in without notice or valid reason if you're a woman living without your partner present or if single and will be inappropriate verbally. 
No respect of your privacy. 
They ignore leaking pipes so units will have mold at some point.
If you complain, they will refuse to renew your 3 month lease and not give you any notice so you'll be out on the streets. They do not care.
Landlord also keeps one third of your security for ""carpet cleaning"" and ""general cleaning"" even if you leave the apartment in better condition and cleaner than when you moved in, including having washed the rug or made any repairs at your own expense. 
They will refuse to explain actual costs of said cleaning if asked, even in writing.
 They also allow homeless people to block doors, limiting tenant access and creating a dangerous situation in case of fire or other emergency, or enter their ""secured"" building.  
Fire alarms are barely audible when in your own unit.
Do not rent from them if you're a single woman or don't live with your partner.",2,2,2,1,2
4053,WESTDALE,TORONTO,ONTARIO,M4V 2J4,CA,"Avoid them if you do not want cigarette smoke in your apartment. The building I rented in was billed as non-smoking. The super assured me when I went to see the place that there had never been an issue with cigarette smoke. Once I moved in I found out that this was not true and that many tenants had reported having problems with cigarette smoke in their unit. The A/C and the supplementary heat were unusable because it piped in cigarette smoke from smokers who are in the building from before it went 'non-smoking'.

Also the office manager is known to give people who work from home a hard time. She is an obstructive bully and if you go over her head to head office you will be met with further resistance from her superior.  I understand that tenants have left Westdale because of bullying from these two individuals. 

The front desk staff gossips about the tenants. You can do better.",2,3,3,2,1
4054,KEITH ODRIBEGE,ABBOTSFORD,BRITISH COLUMBIA,V3G2B1,CA,Had their friends move in and cause trouble daily. Regularly increased rent as much as possible. Had us move out and took the damage and pet deposits when there was no damage. We left the place was better condition than we found it. Had to tell the wife to stop harassing me. We had to replace several broken appliances on our own including the oven and sink faucet to make the place livable. (Marketplace). The home was not regularly maintained.,1,2,1,3,1
4055,THE ROYAL FLATS,GUELPH,ONTARIO,N1H0A3,CA,Great Building Manager! Very friendly and beyond helpful.,5,5,5,5,5
4056,"CHELSEA, KASIA BONDY",WINDSOR,ONTARIO,N8X4J7,CA,"Chelsea Bondy and her mother Kasia Bondy are some of the worst landlords out there. They installed cameras all around the house after I moved in, including a hidden one in the laundry room. (To catch me changing) They are deranged and enjoy harassing their tenants. Chelsea who is a vet tried to poison my dog. Kasia assaulted me after her and her daughter broke into my house. They also charged me 2/3 utilities and would turn the hot water tank way down, shut off the heat in the winter(locked out bc they have google nest), and would unplug the washing machine while I was using it. Don’t rent from 1510 parent ave Windsor Ontario.",1,2,3,1,1
4057,WESTWOOD HOLDINGS - LIFE ON QUEEN,TORONTO,ONTARIO,M4E 1H7,CA,"I've lost count of how many property managers and staff these buildings have turned over in the last 5 years. This place is infested with mice and bugs. The building will only do what is required to appease by-law. Everything is falling apart and all they do band-aid fixes, and you will have to fight like hell to get those. The superintendent, Mike, harasses and screams at tenants. The building refuses to take responsibility for tenants. They have a lot of sketchy tenants and tell you there's nothing they can do and to call the police if your neighbor is threatening you. They don't give you proper notice of entry or follow the laws. The buildings aren't cleaned regularly. If you try to get any of these things addressed you'll get harassed and they'll try to force you out. These buildings aren't safe. The police are here regularly.",1,1,1,1,1
4058,EFFORT TRUST,HAMILTON,ONTARIO,L9A 1J5,CA,Great place . Always clean . Safe building,5,5,5,5,5
4059,ATK,KITCHENER,ONTARIO,N2H5W9,CA,"Ethical, considerate, fair and easy. An absolute pleasure to rent from.",5,5,5,5,5
4060,GRANT ADAMS,FORT ST JOHN,BRITISH COLUMBIA,V0C 1H0,CA,A highly unethical landlord that forwards false allegations to police and may collude with corrupt RCMP officers to remove tenants. Do not expect to see your damage deposit returned—regardless of the dwelling's condition.,3,4,1,2,1
4061,MUHAMMAD AND MUNZA AKRAM,TORONTO,ONTARIO,M5A0K9,CA,"Landlord was unable to complete repairs (over a month), required me to take off work to fulfill service calls, insisted on 4 months advance of rent, did not respect privacy and refused additional fob. Would not recommend.",1,5,1,3,1
4062,PARAMOUNT PROPERTIES,OTTAWA,ONTARIO,K1B 4L4,CA,"6.5 years at Innes Park. 2016-2023
Hasn't been the worst experience, current landlord also not the worst but not the best. Have to push to get certain repairs done. Windows are a disaster. Lots of the repairs done are cheaply done, Bandaid fixes. Had major ant issues summer and fall 2022 - landlord ignored at first telling tenants it was their fault, clean better. Never had any issues in 6 years, only when they do cleaning/repairs of outside of building there becomes a problem. Rumors of bed bugs. 
Many tenants with dogs are ignorant owners - don't consider others around them and don't pick up poop, some take their dogs to parking garage to do their business. One REALLY annoying tenant in 102-2767 very loud daily and very nosey in everyone's business.
Office assistant has been the same for YEARS. Sweet kind lady(Olga)Best part of this property from Paramount. Building management has daily cleaning of all floors done however a few things that could be better - laundry rooms seem to get highly ignored for cleaning. Frustrating the cleaners put elevator on hold while cleaning floors especially during the morning when everyone is going for work or taking dogs out, would be great to see them wait for an elevator to come back instead of holding one of the two elevators.
Landlord has also put a lot of money into upgrading their office to a nice modern-day look, even adding a back deck from their office... Would have been nice to see as much effort into the over-priced apartments that look like they're from the 70s still.",2,2,3,4,3
4063,STONERIDGE,OSHAWA,ONTARIO,L1H5A3,CA,They are constantly operating in the grey area of the law and always claiming to be the middle man to the actual property owners. They started out taking advantage of young people in student housing so they fail to realize that these are peoples homes and they are jeopardizing people’s families!!! I don’t know how they sleep at night,1,1,1,4,1
4064,MAGGIE BAO BAO BAO HOLDINGS,CHICAGO,ILLINOIS,60640,US,"She is the definition of slumlord we've been without heat for five years,went two years with no refrigerator using ice bottles to keep our food cold. That's just the beginning everytime we call on her for repairs we are threatened with eviction. We are currently in court facing eviction because we asked the plumbing be repaired. I paid for it myself. She has discrimination issues with people who identify as gay or lesbian as well. The real reason we are being evicted.",1,1,1,1,1
4065,KIM LACKIE,BURLINGTON,ONTARIO,L7S1E2,CA,"I've never met a more kind, caring, busy and all around amazing woman in Kim as she manages Park Property in Burlington. I sometimes can't believe how well she keeps it together and keeps all us tenants very happy. Bravo Kim!",5,5,5,5,5
4066,BENTALL GREEN OAK RESIDENTAL,VICTORIA,BRITISH COLUMBIA,V8V 1W4,CA,"The have entered my suite without notice or even knocking- there was no emergency issue which would be the only justification and walked in on me while I was getting out of the shower. 
They have also tried to enter without noticed multiple times, but I refused entry. They then harassed me and called me a liar. 

The accessible lift to get from the lobby to the elevators floor almost never works. 
Many of the facilities in the building like the hot tub/pool are often closed for months due to repairs. 

They don’t enforce many of the rules or enforce them only with people they don’t like. I have witnessed them enforce a rule with a neighbour that I know they did not enforce with their friends who live in the building. The neighbour later told me it was because the resident manager didn’t like them.",2,2,2,1,1
4067,RESREIT PROPERTY MANAGEMENT,TORONTO,ONTARIO,M4Y2P3,CA,The on site management office have  constantly changing personnel who are unable to answer any questions.  You cannot make an appointment with the property manager.  Nor can you email him as previous staff emails change to a generic one for all to see. One staff member admitted they do not rebate the interest on the one month deposit unless the tenant asks for it.,1,2,2,1,1
4068,PETER BONNICI AND DOMENICA CARAVETTA,TORONTO,ONTARIO,M5P2K6,CA,They do not maintain anything in the units and we have developed health conditions due to the mold in the unit when we lived there. They harassed us continually and tried to overcharge for repairs and pocket the difference. Literally do anything you can to not live in any of their residences.,1,1,1,1,1
4069,LUCY AND JOHN SPEZZANO,MISSISSAUGA,ONTARIO,L5C 4P8,CA,Just terrible people. Don't engage in business with them.,1,1,1,1,1
4070,TRIBE MANAGEMENT INC,VANCOUVER,BRITISH COLUMBIA,V5V 4X3,CA,Tribes the one that gets sued every year or something,1,1,1,1,1
4071,ANTHONY DEFAZIO,VAUGHAN,ONTARIO,L6A4Y1,CA,"Very kind, responsible and fair landlord!",5,5,5,5,5
4072,HAZELVIEW PROPERTIES,CALGARY,ALBERTA,T2R1K8,CA,"Major repairs ignored. Landlords don’t know act. Ridiculous noise from other tenants. No security. Laundry room disgusting. 
They have gotten rid of security and cleaning daily instead spend money on new furniture for sitting areas. No respect for tenants no repairs done (major) and asking for bank statements. Allowing excessive noise at all hours from other tenants. Landlords can’t seem to get up from the chair in the office to do anything but show suites and lie to prospective tenants. 
Toronto management could care less.",1,1,3,1,1
4073,MORGURAD  NAR CANADA L.P,EAST YORK,ONTARIO,M4H 1J4,CA,"Worst management I have ever seen. Noisy building, neighbors are not warned at all about the silence, orderliness and cleanliness of the corridors of the apartment. There is a constant  bad smell and occupation in the corridors of the apartment. The stairs cannot be used because they are too dirty and there is lots of garbage. The management only asks the tenants for rent and does not care about cleaning the building at all. The air conditioning does not work and one or two elevators are always broken. Especially in the summer season this building smells bad and there is always garbage in area of this building, I would never recommend 43 Thorncliffe Park drive to anyone because the management only takes money and does not care about the cleanliness of the building, it should be noted that they do not sweep the corridors of the apartments even for a month.",1,1,1,1,1
4074,GERRY WILSON,EDMONTON,ALBERTA,T6C1V6,CA,"Floors are incredibly thin, and the landlord that lives upstairs is very loud. Even after asking him to be quiet after 10pm, he regularly is loud and disruptive past 1am. 

DO NOT RENT FROM GERRY WILSON IF YOU WANT TO KEEP YOUR SANITY.",4,3,5,2,1
4075,ANNA AND JOHN PILEGGI,TORONTO,ONTARIO,M2R 2L5,CA,They are looks like my family and They are so kind and nice and so respectful and responsible .,5,5,5,5,5
4076,3J HOLDINGS,REGINA,ALBERTA,S4P 2L2,CA,"The apartments are affordable and basic. No real complaints with the unit itself. But the landlady there is a monster who will interrogate anyone entering the building, and tries to intimidate and browbeat all of the tenants. If you have friends over you can expect an angry notice the next day, even if they visited strictly during daytime hours and there were no complaints from other residents. As such the entire building has a very oppressive feel.",3,3,3,1,1
4077,HYMAVATI VUPPUTURI & RAMA K. VUPUTURI,NORTH YORK,ONTARIO,M2K 3B7,CA,She is very responsible and fair and nice with me,5,5,5,5,5
4078,HYMAVATI VUPPUTURI,NORTH YORK,ONTARIO,M2K 3E7,CA,She is very responsible and fair and nice with me,5,5,5,5,5
4079,BAHRAM MOGHADDAM,TORONTO,ONTARIO,M3J0A8,CA,"Bahram is a good enough person but a terrible landlord. He doesn’t seem to care about the safety of his tenants or his property being kept clean. The oven does not work and he did not share that before signing the lease. There are two mentally deranged people living in the home and one is his cousin. He refuses to be a landlord. I experienced many injustices in his house, including human fecal matter inside my shoes.",1,1,4,5,3
